PC=00000029, SP=ffffffd4, A=00000000, B=00000000ldl 00000003
PC=0000002a, SP=ffffffd4, A=00000001, B=00000000sub 
PC=0000002b, SP=ffffffd4, A=ffffffff, B=00000000brlz 00000004
PC=00000030, SP=ffffffd4, A=ffffffff, B=00000000ldl 00000002
PC=00000031, SP=ffffffd4, A=00000000, B=ffffffffbrz 00000014
PC=00000046, SP=ffffffd4, A=00000000, B=ffffffffldc 00000001
PC=00000047, SP=ffffffd4, A=00000001, B=00000000ldl 00000001
PC=00000048, SP=ffffffd4, A=0000003b, B=00000001adj 00000003
PC=00000049, SP=ffffffd7, A=0000003b, B=00000001return 
PC=0000003b, SP=ffffffd7, A=00000001, B=00000001ldl 00000001
PC=0000003c, SP=ffffffd7, A=00000001, B=00000001stl 00000000
